Protein Expres1 Expres2
A0A024QZ42 0.3662327072982277 0.252915554280792
O75340 0.3662327072982277 0.252915554280792
O75340-2 0.3662327072982277 0.252915554280792
A0A2R8YD12 0.5717662189688001 0.870305638228144
A0A024QZX5 0.5717662189688001 0.870305638228144
A0A087X1N8 0.5717662189688001 0.870305638228144
P35237 0.5717662189688001 0.870305638228144
A0A2R8Y6A7 0.5717662189688001 0.870305638228144
Q00341 0.12013763827936988 0.023648314710174288
A0A024R4E5 0.12013763827936988 0.023648314710174288
H0Y394 0.12013763827936988 0.023648314710174288
H7C0A4 0.12013763827936988 0.023648314710174288
A0A024R571 -0.11983463247971875 0.11494777431445462
Q9H4M9 -0.11983463247971875 0.11494777431445462
C9JC03 -0.11983463247971875 0.11494777431445462
C9J2Z4 -0.11983463247971875 0.11494777431445462
A0A024RA52 0.029125412410524264 0.20029465215546743
P25787 0.029125412410524264 0.20029465215546743
A0A7I2V2H3 0.029125412410524264 0.20029465215546743
A0A7I2YQP7 0.029125412410524264 0.20029465215546743
C9JCK5 0.029125412410524264 0.20029465215546743
A0A024RBT2 -0.5432011152484587 -0.2294913466487612
Q9NR28-2 -0.5432011152484587 -0.2294913466487612
Q9NR28 -0.5432011152484587 -0.2294913466487612
Q9NR28-3 -0.5432011152484587 -0.2294913466487612
E9PRM7 -0.8081113972834179 -1.1351129987410136
A0A0J9YWM3 -0.8081113972834179 -1.1351129987410136
A0A024RCG2 -0.8081113972834179 -1.1351129987410136
Q96BI1 -0.8081113972834179 -1.1351129987410136
P46379-3 0.0338786200487188 -0.22196395362594298
P46379 0.0338786200487188 -0.22196395362594298
P46379-2 0.0338786200487188 -0.22196395362594298
A0A7I2V508 0.0338786200487188 -0.22196395362594298
A0A0G2JK23 0.0338786200487188 -0.22196395362594298
A0A024RCR6 0.0338786200487188 -0.22196395362594298
A0A7P0MQS5 0.0338786200487188 -0.22196395362594298
P46379-5 0.0338786200487188 -0.22196395362594298
P46379-4 0.0338786200487188 -0.22196395362594298
A0A0G2JL47 0.0338786200487188 -0.22196395362594298
X6REW1 0.0338786200487188 -0.22196395362594298
A0A0G2JJM1 0.0338786200487188 -0.22196395362594298
F6S6P2 0.0338786200487188 -0.22196395362594298
A0A075B6P5 -0.9560691543987819 0.10492864211222955
A0A087WW87 -0.9560691543987819 0.10492864211222955
P01615 -0.9560691543987819 0.10492864211222955
P01614 -0.9560691543987819 0.10492864211222955
A2NJV5 -0.9560691543987819 0.10492864211222955
A0A0A0MRZ7 -0.9560691543987819 0.10492864211222955
A0A075B6S6 -0.9560691543987819 0.10492864211222955
A0A075B6S2 -0.9560691543987819 0.10492864211222955
P06310 -0.9560691543987819 0.10492864211222955
A0A087WTZ5 -0.18959872743913106 -0.4091232514807156
E9PJ81 -0.18959872743913106 -0.4091232514807156
Q04323 -0.18959872743913106 -0.4091232514807156
Q04323-2 -0.18959872743913106 -0.4091232514807156
E9PRQ7 -0.18959872743913106 -0.4091232514807156
A0A8I5KUC4 -0.04198547372860568 -0.7533527250800814
A0A8I5KY62 -0.04198547372860568 -0.7533527250800814
A0A8I5QJM4 -0.04198547372860568 -0.7533527250800814
A0A8I5KYH1 -0.04198547372860568 -0.7533527250800814
A0A8I5QKX7 -0.04198547372860568 -0.7533527250800814
A0A087WU53 -0.04198547372860568 -0.7533527250800814
Q9H0U3 -0.04198547372860568 -0.7533527250800814
J3QTS8 -0.3523569338555847 0.6846530373607363
A0A087WUI4 -0.3523569338555847 0.6846530373607363
A0A087X1U0 -0.3523569338555847 0.6846530373607363
Q15661 -0.3523569338555847 0.6846530373607363
P20231 -0.3523569338555847 0.6846530373607363
Q15661-2 -0.3523569338555847 0.6846530373607363
A0A0C4DGM1 -0.3523569338555847 0.6846530373607363
A0A0C4DFZ7 -0.3523569338555847 0.6846530373607363
Q9BZJ3 -0.3523569338555847 0.6846530373607363
A0A087WUK2 1.2997661914144243 1.1662856191396713
O14979 1.2997661914144243 1.1662856191396713
O14979-3 1.2997661914144243 1.1662856191396713
O14979-2 1.2997661914144243 1.1662856191396713
A0A087WUL2 0.4121828153729439 0.41038073173591066
P49720 0.4121828153729439 0.41038073173591066
A0A087WXQ8 0.4121828153729439 0.41038073173591066
A0A087WY10 0.4121828153729439 0.41038073173591066
A0A087WUN7 0.35169939962880953 -0.10297673381865027
H0YJ40 0.35169939962880953 -0.10297673381865027
G3V4X6 0.35169939962880953 -0.10297673381865027
G3V2S9 0.35169939962880953 -0.10297673381865027
Q9GZT3-2 0.35169939962880953 -0.10297673381865027
Q9GZT3 0.35169939962880953 -0.10297673381865027
H0YJW7 0.35169939962880953 -0.10297673381865027
A0A087WUT6 -0.0657067556333329 -0.1406783826782235
O60841 -0.0657067556333329 -0.1406783826782235
A0A087WUZ3 0.6896396960530963 0.912312605551311
Q01082 0.6896396960530963 0.912312605551311
Q01082-3 0.6896396960530963 0.912312605551311
Q01082-2 0.6896396960530963 0.912312605551311
P22694-2 0.14562352932989597 0.39758386090397835
P22694-4 0.14562352932989597 0.39758386090397835
A0A087WVC4 0.14562352932989597 0.39758386090397835
P22694-5 0.14562352932989597 0.39758386090397835
P22694-6 0.14562352932989597 0.39758386090397835
P22694-7 0.14562352932989597 0.39758386090397835
P22694-9 0.14562352932989597 0.39758386090397835
P22694 0.14562352932989597 0.39758386090397835
P22694-3 0.14562352932989597 0.39758386090397835
P22694-10 0.14562352932989597 0.39758386090397835
B1APG0 0.14562352932989597 0.39758386090397835
P22694-8 0.14562352932989597 0.39758386090397835
B1APG1 0.14562352932989597 0.39758386090397835
B1APG3 0.14562352932989597 0.39758386090397835
B1APF9 0.14562352932989597 0.39758386090397835
B1APF8 0.14562352932989597 0.39758386090397835
B1APG2 0.14562352932989597 0.39758386090397835
B1APF7 0.14562352932989597 0.39758386090397835
A0A087WVM4 -0.4535354769655636 -0.024835196789354103
B7ZM99 -0.4535354769655636 -0.024835196789354103
Q6UB35 -0.4535354769655636 -0.024835196789354103
A0A8V8TQK1 1.018456586769649 0.9534613106931958
A0A8V8TRF0 1.018456586769649 0.9534613106931958
A0A8V8TR47 1.018456586769649 0.9534613106931958
A0A087WVQ6 1.018456586769649 0.9534613106931958
A0A8V8TQ14 1.018456586769649 0.9534613106931958
K7EJJ5 1.018456586769649 0.9534613106931958
